Title,ReleaseYear,Locations,FunFacts,ProductionCompany,Distributor,Director,Writer,Actor1,Actor2,Actor3,SF Find Neighborhoods,Analysis Neighborhoods,Current Supervisor Districts
Chance- Season 1 ep109,2016,850 Bryant- 6th floor County Jail,The former County Jail on the 6th floor was re-created to resemble a Mexican jail for the scene,TVM Productions,HULU,Sara Gran and Pete Begler,Dan Attias,Hugh Laurie,Gretchen Mol,Ethan Suplee,32,34,10
Super Pumped: The Battle for Uber,2022,Alameda St. between Vermont St. & San Bruno Ave.,,Possible Productions,Showtime,"Allen Coulter, Daniel Gray Longino, John Dahl, Zetna Fuentes","Brian Koppelman & David Levien, Sarah Acosta, Stephen Schiff, Emily Hornsby, Safie M. Dirie, Beth Schacter",Joseph Gordon-Levitt,Kyle Chandler,Kerry Bishé,33,20,9
The Towering Inferno,1974,2898 Vallejo Street,,Irwin Allen Productions,Twentieth Century - Fox,John Guillermin,Stirling Silliphant,Steve McQueen,Paul Newman,William Holden,102,30,6
Common Threads: Stories From the Quilt,1989,The Castro,"From 1910-1920 the Castro was called ""Little Scandinavia"" because of its high concentration of residents of Scandinavian ancestry.",Home Box Office (HBO),Direct Cinema Limited,Rob Epstein,Jeffrey Friedman,Sara Lewinstein,David Mandell,,115,5,5
Herbie Rides Again,1974,Sheraton Palace Hotel (639 Market Street),"The hotel was destroyed in the 1906 earthquake and fire, had to be rebuilt, and was reopened in 1909.",Walt Disney Productions,Buena Vista Distribution,Robert Stevenson,Bill Walsh,Helen Hayes,Ken Berry,Stefanie Powers,32,8,10
DEVS,2020,Corona Heights - 16th at Flint St,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,113,5,5
The Net,1995,Moscone Convention Center,,Columbia Pictures Corp.,Columbia Pictures,Irwin Winkler,John Brancato,Sandra Bullock,Jeremy Northam,,32,34,10
Venom: Let There Be Carnage,2021,Sutter Stockton Garage,,SM Film Productions,Sony Pictures,Andy Serkis,Kelly Marcel,Tom Hardy,Michelle Wiliams,Woody Harrelson,19,8,3
Terminator - Genisys,2015,Embarcadero between Pier 2 and Harrison,,T5 Productions LLC,Paramount Pictures,Alan Taylor,James Cameron,Arnold Schwarzenegger,Jason Clarke,,30,8,10
Ant-Man and the Wasp,2018,Saint Louis Alley at Jackson,,"PYM Particles Productions II, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Chris McKenna,Paul Rudd,Evangeline Lilly,Michael Douglas,104,6,3
The Presidio,1988,Presidio (Golden Gate National Recreation Area),"In 1776, Spain made the Presidio a fortified area. The area was then given to Mexico, but then given to the US in 1848. The 1994 demilitarization of the area in 1994 marked the end of its 219 years of military use.",Paramount Pictures,Paramount Pictures,Peter Hyams,Larry Ferguson,Sean Connery,Mark Harmon,Meg Ryan,98,13,6
Ant-Man,2015,Intersection of Broadway at Kearney,Driving shots,"PYM Particles Productions, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Gabriel Ferrari,Michael Douglas,Paul Rudd,,106,23,3
"Murder in the First, Season 3",2016,Howard Street at Steuart Street,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,108,8,10
Cardinal X,2015,3639 Taraval St,,Fire Horse Film Productions LLC,,Annie Wang,Annie Wang,Annie Q,Francesca Eastwood,Pierson Fode,39,35,7
"Murder in the First, Season 2",2015,Columbus Avenue between Washington and Bay Streets,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,,,
The Matrix Resurrections,2021,California at Grant Ave,,"Adobe Pictures, Inc.",Warner Brothers,Lana Wachowski,"Lana Wachowski, David Mitchell, Aleksander Hemon",Keanu Reeves,Keanu Reeves,Neil Patrick Harris,104,6,3
The Right Stuff,1983,Cow Palace,"Supposedly, the Cow Palace's name derives from a newspaper editorial in which the writer wonders whether the soon-to-be-built structure for livestock was a ""palace for cows"".",The Ladd Company,The Ladd Company,Philip Kaufman,Philip Kaufman,Sam Shepard,Scott Glenn,Ed Harris,,,
So I Married an Axe Murderer,1993,305 Hugo Street,,TriStar Pictures,TriStar Pictures,Thomas Schlamme,Robbie Fox,Mike Myers,Nancy Travis,,109,14,11
Red Widow,2013,California & Davis St,,Beyond Pix,American Broadcasting Company (ABC),Alon Aranya,Melissa Rosenberg,Radha Mitchell,Sterling Beaumon,Clifton Collins Jr.,108,8,3
Venom,2018,Larkin St btwn Post and Geary,,"L.O.Z. Productions, Inc.","Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed,50,36,10
Sister Act 2: Back in the Habit,1993,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)","Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.",Touchstone Pictures,Buena Vista Pictures,Bill Duke,Joseph Howard,Whoopi Goldberg,Maggie Smith,,106,23,3
Etruscan Smile,2017,Treasure Island,,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,36,37,10
Vertigo,1958,San Francisco Drydock (20th and Illinois Streets),,Alfred J. Hitchcock Productions,Paramount Pictures,Alfred Hitchcock,Alec Coppel,James Stewart,Kim Novak,Barbara Bel Geddes,55,26,9
Shang-Chi and the Legend of the Ten Rings,2021,Post between Van Ness and Kearny,,Freelance Restorations LLC,Disney/Marvel,Destin Daniel Cretton,"Dave Callaham, Destin Daniel Cretton, Andrew Lanham",Simu Liu,Tony Chiu-Wai Leung,Awkwafina,19,8,3
The Doors,1991,,,Bill Graham Films,TriStar Pictures,Oliver Stone,J. Randal Johnson,Val Kilmer,Meg Ryan,,21,36,10
Magnum Force,1973,San Francisco International Airport,SFO has a museum dedicated to aviation history.,The Malpaso Company,Warner Bros. Pictures,Ted Post,John Milius,Clint Eastwood,Hal Holbrook,Mitchell Ryan,,,
The Game,1997,Harrison Street (The Embarcadero),,Polygram Filmed Entertainment,Polygram Filmed Entertainment,David Fincher,John Brancato,Michael Douglas,Sean Penn,Deborah Kara Unger,30,8,10
The Phone/Jexi,2019,3419 16th St,,CBS Films Inc.,Lionsgate,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena,37,5,5
Looking Season 2 ep 209,2015,"Muddy Waters, 521 Valencia Street",,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,53,20,2
The Last Thing He Told Me,2023,2698 Pacific Avenue,,20th Television,Apple TV+,"Olivia Newman, Deniz Gamze Ergüven, Daisy Von Scherler Mayer,
Lila Neugebauer",Laura Dave,Jennifer Garner,Angourie Rice,Aisha Tyler,102,30,6
The Diary of a Teenage Girl,2015,Ocean Beach at Point Lobos,,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,,,
The Phone/Jexi,2019,Elixir - 3200 16th St,,CBS Films Inc.,Lionsgate,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena,37,20,5
Venom: Let There Be Carnage,2021,238 Columbus,,SM Film Productions,Sony Pictures,Andy Serkis,Kelly Marcel,Tom Hardy,Michelle Wiliams,Woody Harrelson,106,23,3
Looking,2014,"Tiburon Hiking Trail, Tiburon, CA",,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,,,
DEVS,2020,Alamo Square Park,,Minim Productions,FX Network,Alex Garland,Alex Garland,Sonoya Mizuno,Nick Offerman,Jin Ha,22,9,11
Patch Adams,1998,Treasure Island,"An artificial island, Treasure Island was created for the 1939 Golden Gate International Exposition, and is named after the novel by Robert Louis Stevenson, a one-time San Francisco resident.",Bungalow 78 Productions,Universal Pictures,Tom Shadyac,Steve Oedekerk,Robin Williams,Philip Seymour Hoffman,,36,37,10
Blue Jasmine,2013,2179 48th Ave,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,39,35,7
Heart and Souls,1993,2810 Pacific Avenue,,Universal Pictures,Electric Parc,Tomas Gislason,Tomas Gislason,Jorgen Leth,,,102,30,6
The Phone/Jexi,2019,Mash Transit - 284 Sanchez St,,CBS Films Inc.,Lionsgate,"Jon Lucas, Scott Moore","Jon Lucas, Scott Moore",Adam Devine,Alexandra Shipp,Michael Pena,38,5,5
Junior,1994,"Postcard Row (Alamo Square, Hayes Valley)",The 6 Victorian homes across from Alamo Square Park are among the few Victorians to survive the Great Fire.,Northern Lights Entertainment,Universal Pictures,Ivan Reitman,Kevin Wade,Arnold Schwarzenegger,Danny DeVito,Emma Thompson,22,9,11
Basic Instinct,1992,1158-70 Montgomery Street,,Carolco Pictures,TriStar Pictures,Paul Verhoeven,Joe Eszterhas,Michael Douglas,Sharon Stone,George Dzundza,18,23,3
Bitter Melon,2018,66 Danton St,,Bitter Melon Film LLC/Mammoth Pictures,"ABS-CBN, Gravitas Ventures",H.P. Mendoza,H.P. Mendoza,Jon Norman Schneider,Patrick Epino,Brian Rivera,94,28,5
Chance- Season 1 ep107,2016,145 Barlett St.,,TVM Productions,HULU,Alexandra Cunningham and Kem Nunn,Michael Lehmann,Hugh Laurie,Gretchen Mol,Ethan Suplee,53,20,2
"Budding Prospects, Pilot",2017,500 Cortland Avenue,,Picrow Streaming Inc.,Amazon,Terry Zwigoff,"Melissa Axelrod, T. C. Boyle (based on the book by)",Adam Rose,Will Sasso,Joel David Moore,83,2,2
Dr. Dolittle 2,2001,"Sacramento St., Between Pierce & Broderick Streets",,Twentieth Century Fox Film Corp.,Twentieth Century Fox Film Corp.,Steve Carr,Larry Levin,Eddie Murphy,Kristen Wilson,,102,30,6
The Last Black Man in San Francisco,2019,Shotwell St btwn 20th and 21st St,,"LBMISF, LLC",A41,Joe Talbot,"Joe Talbot, Jimmie Fails, Rob Richert",Jimmie Fails,Jonathan Majors,Danny Glover,56,26,9
San Andreas,2015,Water work in SF Bay,Characters drive in a high speed picture boat to see different views of the city.,"Upside Down Productions, Inc.",Warner Bros.,Brad Peyton,Allan Loeb,Dwayne Johnson,,,33,4,9
Blue Jasmine,2013,Jones & Pacific,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,107,21,3
Freebie and the Bean,1974,Twin Peaks,"The 2nd highest point in SF after Mt. Davidson, Twin Peaks sit at the geographic center of SF. The native Ohlone people called the area ""called the area “Los Pechos de la Chola” or ""Breasts of the Indian Maiden,"" but in the 19th Century when America took over the area, it was renamed ""Twin Peaks"".",Warner Bros. Pictures,American Broadcasting Company (ABC),Richard Rush,Robert Kaufman,Alan Arkin,James Caan,Loretta Swit,115,5,5
Looking Season 2 ep 204,2015,"Urban Flowers, 4029 18th Street",,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,38,5,5
"Looking ""Special""",2016,Fisherman's Wharf,,"Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,99,23,3
Flower Drum Song,1961,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Fields Productions,Universal Pictures,Henry Koster,Joseph Fields,Nancy Kwan,James Shigeta,Benson Fong,,,
Quitters,2015,Yerba Buena Gardens,,"Frederick & Ashbury, LLC.",,Noah Pritzker,Noah Pritzker,Kara Hayward,Mira Sorvino,Saffron Burrows,32,34,10
Looking,2014,Dolores Park,,"Mission Street Productions, LLC",Home Box Office (HBO),Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie J. Alvarez,Murray Bartlett,37,20,5
Chance- Season 1 ep104,2016,Bush and Sansome St.,,TVM Productions,HULU,Carl Franklin,Peter Elkoff,Hugh Laurie,Gretchen Mol,Ethan Suplee,108,8,3
Etruscan Smile,2017,"Laguna Honda Hospital, 375 Laguna Honda Blvd.",,"Po Valley Productions, LLC",TBD,Oded Binnun/ Michel Brezis,"Sarah Bellwood, Michal Lali Kagan, Michael McGowan Amital Stern, Jose Luis Sampedro",Brian Cox,Roseanne Arquette,Thora Birch,49,38,8
Summertime,2015,Sansome (Washington to Bush) Pine (Davis to Kearny) Bush: Kearny to Battery,,"Creative Monster Productions, Inc.",9 Distribution,Gabriele Muccino,Gabriele Muccino,Jessica Rothe,Scott Bakula,Matilda Anna Ingrid Lutz,21,36,10
Hard to Hold,1984,"Fairmont Hotel (950 Mason Street, Nob Hill)","In 1945 the Fairmont hosted the United Nations Conference on International Organization as delegates arrived to draft a charter for the organization. The U.S. Secretary of State, Edward Stettinius drafted the charter in the hotel's Garden Room.",Universal Pictures,Universal Pictures,Larry Peerce,"Thomas Hedley, Jr.",Rick Springfield,,,16,21,3
The Bridge,2006,Golden Gate Bridge,"With 23 miles of ladders and 300,000 rivets in each tower, the Golden Gate Bridge was the world's longest span when it opened in 1937.",Easy There Tiger Productions,IFC Films,Eric Steel,N/A,John Snowden,,,,,
"Murder in the First, Season 3",2016,535 Octavia Street,,Turner North Center Productions,Turner Network Television (TNT),Steven Bochcho,Eric Lodal,Taye Diggs,Kathleen Robertson,Ian Anthony Dale,22,9,11
Sonic the Hedgehog,2020,2nd St btwn Mission and Howard,,"Paramount Overseas Productions, Inc.",Paramount Pictures,Jeff Fowler,"Josh Miller, Patrick Casey, Oren Uziel",Jim Carrey,James Marsden,Ben Schwartz,32,8,10
I’m A Virgo,2023,Portsmouth Square Park,,Bing Bang Productions Inc,Prime Video,Boots Riley,Boots Riley,Jharrel Jerome,Mike Epps,Carmen Ejogo,104,6,3
Always Be My Maybe,2019,"Fort Point (Presidio, Golden Gate National Recreation Area)",,"Isla Productions, LLC",Netflix,Nahnatchka Khan,"Michael Golamco, Randall Park, Ali Wong",Ali Wong,Randall Park,Keanu Reeves,98,13,6
Sweet November,2001,Farley's Café (1315 18th Street Near Missouri),,Warner Bros. Pictures,Warner Bros. Pictures,Pat O'Connor,Paul Yurick,Keanu Reeves,Charlize Theron,,54,26,9
Looking Season 2 ep 202,2015,770 Haight Street,"This home was also used in MILK, Big Sur and Diary of a Teenage Girl","Mission Street Productions, LLC",HBO,Andrew Haigh,Michael Lannan,Jonathan Groff,Frankie Alvarez,Murray Bartlett,26,3,11
Nash Bridges,2021,The Embarcadero between Pier 9 and Pier 15,,"Village NB Productions, LLC",USA Nework,Greg Beeman,"Carlton Cuse, Bill Chais",Don Johnson,Cheech Marin,Joe Dinicol,77,8,3
Steve Jobs,2015,Intersection of Clay St. and Walter U Lum Plc,,RDF Productions LLC,Universal Pictures,Danny Boyle,Aaron Sorkin,Michael Fassbender,Kate Winslet,Seth Rogen,104,6,3
GirlBoss,2017,"La Taqueria, 2889 Mission St.","The restaurant was given the honor of ""America's Best Burrito"" in 2014 by ESPN's FiveThirtyEight.","Hippolyta Productions, LLC",Netflix,"Jamie Babbit, Amanda Brotchie, Steven K. Tsuchida, Christian Ditter, John Riggi",Kay Cannon,Britt Robertson,Ellie Reed,Amanda Rea,53,20,2
Ant-Man and the Wasp,2018,Laguna St btwn Jackson and Broadway,,"PYM Particles Productions II, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Chris McKenna,Paul Rudd,Evangeline Lilly,Michael Douglas,102,30,6
The Diary of a Teenage Girl,2015,Polk and Northpoint St.,,"Diary the Movie, LLC",Sony Pictures Classics,Marielle Heller,Marielle Heller,Alexander Skarsgard,Kristen Wiig,Christopher Meloni,98,32,6
When a Man Loves a Woman,1994,"Victor's Restaurant, The Westin St. Francis Hotel (335 Powell Street)","The hotel was originally supposed to be named the Crocker Hotel, after Charles Founder the railroad magnate who founded it. However, the hotel took the name the St. Francis after one of the earliest Gold Rush hotels.",Touchstone Pictures,Buena Vista Pictures,Luis Mandoki,Ronald Bass,Andy Garcia,Meg Ryan,,19,36,3
"Smile Again, Jenny Lee",2015,E Tutto Qua Restaurant (270 Columbus St.),,Carlo Caldana/Marguery Films,,Carlo Caldana,Linda Demetrick,Craig Tsuyumine,Puneet Prasad,Larry Kitagawa,106,23,3
Edtv,1999,Palace of Fine Arts (3301 Lyon Street),"The original Palace was built for the 1915 Panama-Pacific Exposition, and completely destroyed in 1964. It was rebuilt in 1965.",Imagine Entertainment,MCA / Universal Pictures,Ron Howard,Lowell Ganz,Matthew McConaughey,Jenna Elfman,,17,13,6
Godzilla,2014,Broadway & Sansome,,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,77,8,3
Swing,2003,Broadway Studios (435 Broadway at Montgomery Street),,unlisted,Crazy Dreams Entertainment,Martin Guigui,Mary Keil,Constance Brenneman,,,106,23,3
Chance- Season 1 ep103,2016,Forrest Hill Muni Station,A Muni station agent played himself in this scene.,TVM Productions,HULU,Michael Lehmann,Kem Nunn,Hugh Laurie,Gretchen Mol,Ethan Suplee,45,41,8
The OA Part II,2019,Washington at Taylor St - Jackson St,,Lunar Mining LLC,Netflix,Zal Batmanglij,"Zal Batmanglij, Brit Marling",Brit Marling,Emory Cohen,Patrick Gibson,16,21,3
Godzilla,2014,Post & Jones St.,,"Nautilus Productions, LLC",Warner Bros. Pictures,Gareth Edwards,Max Borenstein,Aaron Taylor-Johnson,Elizabeth Olsen,Bryan Cranston,50,21,3
Fearless,1993,"St. Peter & Paul's Church (666 Filbert Street, Washington Square)","Though Marilyn Monroe and Joe DiMaggio were not allowed to be married at the Church (DiMaggio had married his first wife at the Church but was divorced), the couple returned to the steps of the Church for photos, following their City Hall nuptials.",Spring Creek Productions,Warner Bros. Pictures,Peter Weir,Rafael Yglesias,Jeff Bridges,Isabella Rosellini,Rosie Perez,106,23,3
Time After Time,1979,"Huntington Park (California & Taylor Streets, Nob Hill)","The mansion of Arabella Huntington, widow of railroad magnate Collis P. Huntington, was destroyed in the 1906 earthquake and fire. Mrs. Huntington the donated the land on which the park now stands to the city.",Orion Pictures Corp.,Columbia Broadcasting System (CBS),Nicholas Meyer,Karl Alexander,Malcolm McDowell,Mary Steenburgen,David Warner,16,21,3
Pushing Dead,2016,Hayes Street between Ashbury and Shrader,,"Pushing Dead , LLC",TBD,Tom Brown,Tom Brown,Danny Glover,James Roday,Robin Weigert,24,18,11
Birth of the Dragon,2016,Grant between Bush and Broadway,,"BOTD U.S. Productions, Inc.",Kylin Pictures,George Nolfi,"Christopher Wilkinson, Stephen J. Rivele",Philip Ng,Billy Magnussen,Yu Xia,106,6,3
Blue Jasmine,2013,Motel Capri,,Perdido Productions,Sony Pictures Classics,Woody Allen,Woody Allen,Cate Blanchett,Alec Baldwin,Peter Sarsgaard,15,13,6
Live Nude Girls Unite,2000,Lusty Lady Bar (North Beach),,Constant Communication,First Run Features,Vicky Funari,Vicky Funari,,,,106,6,3
Venom,2018,Embarcadero btwn Folsom and Bryant,Motorcycle/SUV chase scene,"L.O.Z. Productions, Inc.","Columbia Pictures, Sony Pictures Releasing",Ruben Fleischer,"Jeff Pinkner, Scott Rosenberg",Tom Hardy,Michelle Wiliams,Riz Ahmed,31,8,10
Ant-Man and the Wasp,2018,Jones St btwn Green and Pacific,Stunt scene involving car jump,"PYM Particles Productions II, LLC",Walt Disney Studios Motion Pictures,Peyton Reed,Chris McKenna,Paul Rudd,Evangeline Lilly,Michael Douglas,107,21,3
The Lady from Shanghai,1947,Golden Gate Park,"The Playland amusement park where ""Hall of Mirrors"" sequence at the end of the movie was filmed has since been destroyed. However, relics from the park are now housed at the nearby Cliff House.",Columbia Pictures Corp.,Columbia Pictures,Orson Welles,Orson Welles,Rita Hayworth,Orson Welles,Everett Sloane,9,12,4
